charge,carge carrier, charge distribution, charge polarization, charging by induction, conduction, conductor, conservation of charge, coulomb, coulomb's law, electric force, electric interaction, elementary charge, grounding, insulator, ion, negative charge, neutral, positive charge
page	head	15430	19250	19256	11978	sent
2	P	1	0	0	0	Electricity is a familiar term-outlets, batteries, light bulbs, computers all involve electricity.
2		1	0	0	0	It is no understatement to say that modern life depends on electricity, but what exactly is electricity?
2		1	0	0	0	We all know what electricity does, but it's not that easy to explain what electricity is.
2	P	0	0	1	0	Electricity manifests itself in many ways: from the sparks that fly when you scuff your feet across a carpet on a dry winter day to the electricity we use in our homes to the transmission of radio and television programs.
2		0	0	1	0	Even the attraction between magnets has to do with electricity.
2		1	0	1	0	In this chapter, we begin our treatment of electricity with a discussion of static electricity.
2	H1	1	0	1	1	22.1 Static electricity
2	P	2	2	1	0	When you tear off some plastic wrap from its roll, the wrap is attracted to anything that gets close: your hand, the countertop, a dish.
2		1	2	1	0	This interaction between the plastic wrap and other objects doesn't have to involve any physical contact.
2		1	1	1	1	For example, you can feel the presence of a piece of freshly torn-off plastic wrap with your cheek or the back of your hand even when your face or hand is held some distance away from the piece.
2		1	1	1	0	You may have experienced many similar interactions: Styrofoam peanuts are attracted to your arms when you unpack a box full of them (Figure 22.1).
2		1	1	1	0	Running a comb through your hair on a dry day causes the comb to attract your hair.
2		1	1	1	0	After rubbing a balloon against a woolen sweater, you can hold the balloon close to a wall and see the attraction as the balloon moves toward the wall.
2		0	0	1	0	In all these instances, the mass of the objects is too small for the interactions to be gravitational.
2		0	0	1	0	What, then, is this interaction?
2	P	0	3	1	0	You may never have thought of these interactions as being particularly strong, but consider this: If you rub a comb through your hair and then pass the comb over some small bits of paper, the bits of paper jump up to your comb and stick to it.
2		0	4	2	1	In other words, the bits of paper accelerate upward, which means the force exerted by your comb on them must be greater than the gravitational force exerted on them by Earth!
2	P	2	0	2	1	Now try this: Quickly pull a 20-cm strip of transparent tape* out of a dispenser and suspend it from the edge of a table (just be sure the table is not metal).
2		2	2	2	1	Notice how the tape is attracted to anything brought nearby.
2		1	2	1	1	It might even take some practice to prevent the tape from curling up and sticking to the underside of the table or to your hand.
2		1	0	0	0	Bring a few objects near the suspended tape and notice the attractive interaction between them.
2		0	0	0	0	Go ahead-experiment!
2	HT	2	1	1	2	22.1 Suspend a freshly pulled piece of transparent tape from the edge of your desk.
2	SM	1	1	1	2	(a) What happens when you hold a battery near the tape?
2	SM	1	1	1	2	Does it matter whether you point the +side or the side of the battery toward the tape?
2	SM	1	1	1	2	Does a spent battery yield a different result?
2	SM	1	0	1	2	Does a wooden object yield a different result?
2	SM	1	0	1	2	(b) What happens when you hold a strip of freshly pulled tape near the power cord of a lamp?
2	SM	1	0	1	2	Does it make any difference if the lamp is on or off?
2	P DF	0	0	4	0	All these interactions involving static electricity are examples of electric interactions.
2		0	2	4	0	The experiment you just did tells you there is no obvious connection between electric interactions and the electricity we think of as "flowing" in electric circuits and batteries.
2		0	2	6	0	In Chapter 31 we shall see, however, that the two are connected.
2	P DF	1	3	5	5	Objects that participate in electric interactions exert an electric force on each other.
2		1	4	4	5	The electric force is a field force (see Section 8.3): Objects exerting electric forces on each other need not be physically touching.
2		1	3	2	0	As you may have noticed from the interaction between the strips of tape and various nearby objects, the magnitude of the electric force depends on distance: It decreases as you increase the  separation.
2	HT	0	0	0	1	22.2  Suspend a freshly pulled strip of transparent tape from the edge of your desk.
2	SM	0	0	1	1	(a) Pull a second strip of tape out of the dispenser and hold it near the first strip.
2	SM	0	0	1	1	What do you notice?
2	SM	0	0	1	1	(b) Does it matter which sides of the strips you orient toward each other?
2	P	2	2	2	0	As Checkpoint 22.2 makes clear, not all electric interactions are attractive.
2		2	2	2	0	Even if you increase the mass of the strips by suspending paper clips from them, the repulsion between the strips is great enough to keep the paper clips apart ( Figure 22.2).
2		2	2	2	0	Now place your hand between two repelling strips and notice how both strips fly toward your hand!
2		2	2	2	0	Then run each strip of tape several times between your fingers and notice how the electric interaction diminishes or even disappears.
2	HT	0	0	0	1	22.3 Suspend two freshly pulled 20-cm strips of transparent tape from the edge of your desk.
2	SM	0	0	0	1	Cut two 20-cm strips of paper, making each strip the same width as the tape, and investigate the interactions between the paper strips and the tape by bringing them near each other.
2	SM	0	0	0	1	Which of the following combinations display an electric interaction: paper-paper, tape-paper, tape-tape?
2	FN	0	0	0	0	*For best results, use the type called "magic" tape.
2	FN	0	1	0	0	If you find something that repels the tape, wipe the entire surface of the object with your hand and see if it still repels-it shouldn't.
2	FN	0	1	0	1	Mystified?
2	FN	0	1	0	1	Hang on!
2	FN	0	0	0	0	We'll soon be able to resolve your questions.
2	FIG	0	0	0	0	Figure 22.1 Styrofoam peanuts cling to the cat's fur because of static electricity.
3	H1	0	0	0	0	22.2 Electrical charge
3	P	0	1	1	1	As we saw in the preceding section, electric interactions are sometimes attractive and sometimes repulsive.
3		0	1	1	2	In addition, the experiment you performed in Checkpoint 22.3 demonstrates that paper strips, which do not interact electrically with each other, do interact electrically with transparent tape.
3		0	0	1	2	What causes these interactions?
3		0	0	1	2	To answer this question, we need to carry out a systematic sequence of experiments.
3	P	1	1	0	0	Figure 22.3 illustrates a simple procedure for reproducibly creating strips of tape that interact electrically.
3		1	1	1	1	A  suspended strip created according to this procedure interacts in the following ways: It repels another strip created in the same manner, and it attracts any other object that does not itself interact electrically with other objects (Figure 22.4).
3	P DF	1	0	0	3	Let us call the attribute responsible for the electric interaction  electrical charge, or simply charge.
3		2	3	6	3	Saying that something carries an electrical charge is just another way of saying that that object interacts electrically with other objects that carry electrical charge.
3		2	3	6	1	Freshly pulled strips of tape carry electrical charge, and two such strips interact because each possesses an electrical charge, just as your body and Earth interact because each possesses mass.
3	DF	1	4	5	4	The general term for any microscopic object that carries an electrical charge, such as an electron or ion, is charge carrier.
3	P 	1	5	4	1	It is not immediately clear what attributes to assign to objects that do not interact electrically with each other but do interact with a charged tape strip-a strip of paper, your hand, an eraser, you name it.
3		4	5	4	1	All we know for now is that the interaction between these objects and a charged tape is attractive rather than repulsive.
3	P 	7	4	8	1	The electric charge on an object is not a permanent property; if you let a charged strip of tape hang for a while, it loses its ability to interact electrically.
3		7	4	8	1	In other words, the strip is no longer charged-it is discharged.
